limit, count
1.0 ,  0
1.1 ,  43
1.2 ,  21
1.3 ,  2
1.4 ,  2
1.5 ,  3
1.6 ,  2
1.7 ,  5
1.8 ,  4
1.9 ,  2
2.0 ,  2
2.1 ,  5
2.2 ,  3
2.3 ,  1
2.4 ,  4
2.5 ,  5
2.6 ,  3
2.7 ,  1
2.8 ,  4
2.9 ,  2
3.0 ,  1
3.1 ,  4
3.2 ,  5
3.3 ,  2
3.4 ,  5
3.5 ,  2
3.6 ,  1
3.7 ,  1
3.8 ,  5
3.9 ,  2
4.0 ,  0
4.1 ,  2
4.2 ,  3
4.3 ,  2
4.4 ,  1
4.5 ,  2
4.6 ,  1
4.7 ,  0
4.8 ,  1
4.9 ,  2
5.0 ,  4
5.1 ,  2
5.2 ,  4
5.3 ,  1
5.4 ,  0
5.5 ,  2
5.6 ,  1
5.7 ,  0
5.8 ,  2
5.9 ,  1
6.0 ,  1
6.1 ,  2
6.2 ,  3
6.3 ,  0
6.4 ,  2
6.5 ,  1
6.6 ,  1
6.7 ,  1
6.8 ,  0
6.9 ,  1
7.0 ,  0
7.1 ,  2
7.2 ,  2
7.3 ,  1
