limit, count
1.0 ,  0
1.1 ,  92
1.2 ,  108
1.3 ,  122
1.4 ,  128
1.5 ,  134
1.6 ,  140
1.7 ,  150
1.8 ,  155
1.9 ,  159
2.0 ,  165
2.1 ,  170
2.2 ,  174
2.3 ,  181
2.4 ,  186
2.5 ,  193
2.6 ,  198
2.7 ,  201
2.8 ,  203
2.9 ,  205
3.0 ,  208
3.1 ,  213
3.2 ,  218
3.3 ,  220
3.4 ,  225
3.5 ,  230
3.6 ,  233
3.7 ,  235
3.8 ,  240
3.9 ,  246
4.0 ,  249
4.1 ,  251
4.2 ,  251
4.3 ,  251
4.4 ,  253
4.5 ,  254
4.6 ,  254
4.7 ,  254
4.8 ,  254
4.9 ,  254
5.0 ,  254
5.1 ,  254
5.2 ,  254
5.3 ,  254
5.4 ,  254
5.5 ,  254
5.6 ,  255
