id, model-name, radio
1 , vgg19 , 1.1368928006305303
3 , googlenet , 2.0909402801943178
4 , yolov2 , 2.9386900349188205
5 , squeezenetv1 , 1.9964398171344615
2 , resnet50 , 5.5930081106922644
6 , vgg19 , 1.0
7 , resnet50 , 3.541346714068087
8 , googlenet , 1.2008026831494831
9 , resnet50 , 1.0732162399200575
10 , vgg19 , 1.3474604423744247
11 , yolov2 , 7.593578408247082
12 , squeezenetv1 , 4.2444617823259785
13 , vgg19 , 1.0
15 , googlenet , 5.75974735505764
14 , resnet50 , 3.7133480379203374
16 , yolov2 , 1.0939013004006417
17 , vgg19 , 1.0352488551774952
20 , squeezenetv1 , 1.7956223407007732
19 , googlenet , 4.189449584479082
18 , resnet50 , 3.8469700301661747
21 , vgg19 , 1.0
23 , yolov2 , 2.2018393697317493
22 , resnet50 , 2.4625803014859784
24 , googlenet , 2.3665136522520767
25 , vgg19 , 1.0
26 , squeezenetv1 , 4.42101777947426
27 , resnet50 , 2.623114963625022
28 , vgg19 , 1.0
29 , yolov2 , 8.59002928724923
30 , googlenet , 6.638875810500107
31 , resnet50 , 3.021990967524674
32 , squeezenetv1 , 1.1472837667066693
33 , vgg19 , 1.0
35 , googlenet , 1.9802751284698787
34 , resnet50 , 3.465110960509935
36 , yolov2 , 1.0859954818178712
37 , vgg19 , 1.0
38 , resnet50 , 2.2527225556819888
39 , squeezenetv1 , 2.0574894335364524
40 , googlenet , 1.174999997265842
41 , vgg19 , 1.0
42 , resnet50 , 2.5959402396955538
43 , yolov2 , 2.0408196613856067
44 , vgg19 , 1.0
45 , googlenet , 6.155160400468832
47 , squeezenetv1 , 2.354957852034741
46 , resnet50 , 3.2916433724197316
48 , vgg19 , 1.0
49 , resnet50 , 2.3940413865614616
50 , yolov2 , 4.61778000989064
51 , googlenet , 2.1980503704073118
52 , vgg19 , 1.0
53 , squeezenetv1 , 4.172731994571953
54 , resnet50 , 2.5299148064724952
55 , googlenet , 1.1446100505677042
56 , vgg19 , 1.0
58 , yolov2 , 3.3144561825269263
57 , resnet50 , 2.8088871072410204
59 , vgg19 , 1.0
60 , squeezenetv1 , 7.093090444828578
61 , googlenet , 5.106995364946105
62 , resnet50 , 3.394896457696549
63 , yolov2 , 1.0793804625089667
64 , resnet50 , 1.0196523549609806
65 , vgg19 , 1.356465563426036
66 , squeezenetv1 , 5.9845728343284526
67 , googlenet , 5.508486115344499
68 , resnet50 , 1.050282716757337
69 , vgg19 , 1.297953465488382
70 , googlenet , 1.2314219710150824
71 , yolov2 , 1.6736044242610564
72 , resnet50 , 1.0418004150919955
74 , squeezenetv1 , 3.1369989476762394
73 , vgg19 , 1.5430265852445813
75 , resnet50 , 1.050177955063725
76 , googlenet , 1.940596372341127
77 , vgg19 , 1.2336344056333575
78 , yolov2 , 4.154727273454649
79 , squeezenetv1 , 1.8993933970000632
80 , resnet50 , 1.034679516102841
81 , vgg19 , 1.0554472522855316
82 , googlenet , 3.782224539329932
83 , resnet50 , 1.0291294433089435
84 , vgg19 , 1.0
85 , yolov2 , 7.744111238000983
86 , squeezenetv1 , 3.818037836499809
87 , googlenet , 1.7124999029373933
88 , resnet50 , 1.055204518994024
89 , vgg19 , 1.2700756178790957
90 , yolov2 , 1.1819942348709986
91 , resnet50 , 1.037506983280673
93 , squeezenetv1 , 1.3719672443559652
92 , googlenet , 4.224311629259558
94 , vgg19 , 1.1307912006680925
95 , resnet50 , 1.0181861905911815
96 , vgg19 , 1.0
98 , yolov2 , 2.0216198492277515
97 , googlenet , 5.921903481381423
99 , squeezenetv1 , 2.0675105586042855
100 , resnet50 , 1.067561405432548
101 , vgg19 , 1.01059011481734
102 , googlenet , 1.6520641853417857
103 , resnet50 , 1.0220084444516349
104 , vgg19 , 1.0
105 , yolov2 , 8.326718544826539
106 , squeezenetv1 , 6.9591243549667805
107 , resnet50 , 1.0325327502631028
108 , googlenet , 3.2766054619944938
109 , vgg19 , 1.337550619594674
110 , resnet50 , 1.0756247601915951
112 , yolov2 , 3.8138110136921046
111 , squeezenetv1 , 4.338343874909218
113 , vgg19 , 1.1853267685205213
114 , googlenet , 5.714908039878896
115 , resnet50 , 1.0510680799208885
116 , vgg19 , 1.0
117 , yolov2 , 1.1708615719716378
118 , squeezenetv1 , 2.0143723898211614
119 , googlenet , 2.5081421582764656
120 , resnet50 , 1.322291211143049
121 , vgg19 , 1.0
122 , resnet50 , 1.0258306983120884
123 , vgg19 , 1.0
125 , yolov2 , 7.903678585595425
126 , squeezenetv1 , 2.391481917944148
124 , googlenet , 8.388072815656619
127 , resnet50 , 1.045675099733332
128 , vgg19 , 1.0943921254350646
129 , googlenet , 1.2313073551145104
130 , yolov2 , 1.1174572716051547
131 , resnet50 , 1.029914806472495
132 , squeezenetv1 , 1.1629746263408136
133 , vgg19 , 1.087280601604176
134 , googlenet , 1.1797017646145938
135 , resnet50 , 1.4743961022657888
136 , vgg19 , 1.3301446182406713
137 , yolov2 , 6.836399154710348
138 , squeezenetv1 , 1.132120294997718
139 , resnet50 , 1.2728636653889536
140 , vgg19 , 1.0740465296959594
141 , googlenet , 2.471444946691029
142 , yolov2 , 1.0966440757560232
143 , resnet50 , 1.182490875546104
144 , vgg19 , 1.2068295670201226
145 , squeezenetv1 , 6.091903947745086
146 , googlenet , 1.192201787854936
147 , resnet50 , 1.0322709958313034
148 , vgg19 , 1.1501269527997235
149 , yolov2 , 1.111487574999146
150 , squeezenetv1 , 1.131592781324331
151 , resnet50 , 1.4161197387209405
153 , googlenet , 3.2631879647179884
152 , vgg19 , 1.5778266210409768
154 , resnet50 , 1.031433201886869
155 , vgg19 , 1.3771478539619426
157 , yolov2 , 4.100193658358099
158 , squeezenetv1 , 2.949103229898947
156 , googlenet , 8.383256323040978
159 , vgg19 , 1.0
160 , resnet50 , 3.3387146289468643
161 , googlenet , 1.217889857838005
162 , resnet50 , 1.062953788408543
163 , vgg19 , 1.2129942521101613
165 , yolov2 , 8.511293762772974
164 , squeezenetv1 , 8.152030572403893
166 , resnet50 , 1.028082225845439
167 , googlenet , 2.575458657727501
168 , vgg19 , 1.177962743657276
169 , yolov2 , 1.2266860632760914
170 , squeezenetv1 , 1.1733913552266388
171 , resnet50 , 1.0215372665007656
172 , vgg19 , 1.0
173 , googlenet , 5.666628060356646
174 , resnet50 , 1.0590267728544775
175 , yolov2 , 1.1293965878831353
176 , squeezenetv1 , 2.075158186512362
177 , vgg19 , 1.1570070039741223
178 , googlenet , 1.229013724707262
179 , resnet50 , 1.0529530913288276
180 , vgg19 , 1.0
181 , resnet50 , 1.216943591071068
182 , yolov2 , 2.9419166484333
183 , squeezenetv1 , 3.5991560032722196
184 , googlenet , 2.158830296613483
185 , vgg19 , 1.0
186 , resnet50 , 1.179349323023744
187 , googlenet , 1.1836008925603891
188 , yolov2 , 1.0592126662967678
189 , vgg19 , 1.0
190 , squeezenetv1 , 7.122758467710473
191 , resnet50 , 2.4553023098904827
192 , googlenet , 1.139220150350251
193 , vgg19 , 1.0755403469922802
194 , resnet50 , 1.890027186108899
195 , yolov2 , 1.1423039651494966
196 , squeezenetv1 , 1.3777690145258654
197 , vgg19 , 1.0
198 , googlenet , 2.323967748747947
199 , resnet50 , 1.6485443916940854
200 , vgg19 , 1.0
201 , yolov2 , 3.558567266659835
202 , squeezenetv1 , 3.032041205671168
203 , resnet50 , 1.8513334695534955
204 , googlenet , 2.844036522662943
205 , vgg19 , 1.0
206 , resnet50 , 1.0843688162887357
207 , squeezenetv1 , 1.1460970810008877
208 , yolov2 , 1.106808677667003
209 , vgg19 , 1.0032471183299616
210 , googlenet , 5.773852985202847
211 , resnet50 , 2.240261007418007
212 , vgg19 , 1.0
213 , resnet50 , 1.1280891966425926
214 , yolov2 , 4.239593517476489
216 , squeezenetv1 , 3.5615769100160386
215 , googlenet , 5.214564137494022
217 , vgg19 , 1.0
218 , resnet50 , 1.250034903919845
219 , googlenet , 1.172821092125483
220 , vgg19 , 1.010169306517071
221 , yolov2 , 8.30880953194255
222 , squeezenetv1 , 5.3317510857256245
223 , resnet50 , 2.138159601693844
224 , vgg19 , 1.0
225 , googlenet , 5.040137547829992
226 , resnet50 , 1.9037978061363388
227 , yolov2 , 1.1080994000068318
228 , vgg19 , 1.0
229 , squeezenetv1 , 2.6101001829573347
230 , googlenet , 2.547477066703501
231 , resnet50 , 1.5586951107148344
232 , vgg19 , 1.0
233 , resnet50 , 1.13049771691413
234 , yolov2 , 3.290738957580726
235 , googlenet , 2.1006881000588065
236 , squeezenetv1 , 1.131724691179726
237 , vgg19 , 1.0
238 , resnet50 , 1.7666678451108846
239 , googlenet , 1.1420870789929942
240 , vgg19 , 1.1657174869806664
241 , yolov2 , 6.924976081207877
243 , squeezenetv1 , 2.5523470554582857
242 , resnet50 , 3.570511011362799
244 , vgg19 , 1.0
245 , googlenet , 3.187499911139867
246 , resnet50 , 2.3077003739662896
247 , yolov2 , 1.135850276516316
248 , vgg19 , 1.0
249 , squeezenetv1 , 3.7449894531846075
250 , resnet50 , 1.2922891199039028
251 , googlenet , 1.1512613818893533
252 , vgg19 , 1.0
254 , yolov2 , 1.916585962861786
253 , resnet50 , 3.108751026894294
255 , squeezenetv1 , 1.4676950689291868
256 , vgg19 , 1.0
257 , googlenet , 6.3785546650585445
258 , resnet50 , 3.583705591877603
259 , resnet50 , 1.0583460715163842
260 , yolov2 , 4.357373373499056
261 , vgg19 , 1.4928885162995997
263 , squeezenetv1 , 6.225342901178078
262 , googlenet , 7.071329915198451
264 , resnet50 , 1.053267176673356
265 , vgg19 , 1.3985664586970994
266 , googlenet , 2.4720182449265238
267 , yolov2 , 2.0185543355868854
268 , squeezenetv1 , 1.1155063178721947
269 , vgg19 , 1.0
270 , resnet50 , 3.4886726543617117
271 , googlenet , 1.1586008460797041
272 , vgg19 , 1.0
273 , resnet50 , 3.216873683363224
274 , yolov2 , 3.97224927735859
275 , squeezenetv1 , 1.7088607395968047
276 , vgg19 , 1.0
278 , googlenet , 5.779013762985473
277 , resnet50 , 3.7384285266591046
279 , yolov2 , 1.082284645474109
280 , resnet50 , 1.0190239845356162
281 , vgg19 , 1.350637492871822
282 , squeezenetv1 , 6.4196993096612776
283 , googlenet , 4.501032035253576
284 , vgg19 , 1.0
285 , resnet50 , 2.4138857879827054
286 , yolov2 , 1.4691836098496494
287 , googlenet , 1.1576834814098587
288 , vgg19 , 1.0
289 , squeezenetv1 , 6.659414600660518
290 , resnet50 , 3.7443974464911425
291 , vgg19 , 1.0
294 , yolov2 , 1.416908624213234
293 , googlenet , 4.069495295225077
292 , resnet50 , 3.346306805755042
295 , squeezenetv1 , 1.0937499941055535
296 , vgg19 , 1.0
297 , resnet50 , 2.2002582190991453
298 , googlenet , 1.1924311290223975
299 , yolov2 , 1.0985801977327847
300 , vgg19 , 1.0
302 , squeezenetv1 , 2.2813818292979584
301 , resnet50 , 3.4683570749895987
303 , resnet50 , 1.0266161613437939
305 , googlenet , 2.780275084723352
304 , vgg19 , 1.5715778224474701
306 , yolov2 , 4.123910883304299
307 , squeezenetv1 , 1.129219409912768
308 , resnet50 , 1.0430570560745704
309 , vgg19 , 1.34592456832637
310 , googlenet , 3.0472476708528813
311 , resnet50 , 1.0354125483536636
312 , vgg19 , 1.2316355862723232
313 , yolov2 , 6.7568573615256575
314 , squeezenetv1 , 2.937895544873526
315 , resnet50 , 1.037664075887014
316 , googlenet , 3.272362267614348
317 , vgg19 , 1.1794565609535967
318 , resnet50 , 1.0120601781528027
319 , yolov2 , 4.042594375752607
321 , squeezenetv1 , 1.6872361999373648
322 , googlenet , 2.04495414981195
320 , vgg19 , 1.6364018843672083
323 , resnet50 , 1.0726926311883052
324 , vgg19 , 1.0
325 , googlenet , 1.1430045530291573
326 , yolov2 , 1.9569215552861838
327 , squeezenetv1 , 1.082278489369342
328 , resnet50 , 1.0513822651335707
329 , vgg19 , 1.3224860355933352
330 , googlenet , 1.1965595981356543
331 , resnet50 , 1.580476754588592
332 , vgg19 , 1.4005442496822669
333 , yolov2 , 6.803162419753953
334 , squeezenetv1 , 1.0915084068011918
335 , vgg19 , 1.0
337 , googlenet , 2.306765958158853
336 , resnet50 , 4.026040021963005
338 , yolov2 , 1.1468215318059158
339 , vgg19 , 1.0
341 , squeezenetv1 , 1.4708596479767335
340 , resnet50 , 3.9237818232369626
342 , googlenet , 1.200688067248911
343 , vgg19 , 1.0
345 , yolov2 , 3.8113906688860597
344 , resnet50 , 3.830476604786361
346 , vgg19 , 1.0
348 , squeezenetv1 , 6.870384860521046
347 , googlenet , 7.51834811364429
349 , resnet50 , 4.3921914288755985
350 , yolov2 , 1.0998709200726133
351 , googlenet , 1.1612385429213035
353 , resnet50 , 1.2070999865976937
352 , vgg19 , 1.4731740126194333
354 , squeezenetv1 , 1.1153744080167995
355 , resnet50 , 1.0288675890089902
356 , vgg19 , 1.3042233727187322
358 , yolov2 , 3.431913531066118
357 , googlenet , 5.087270493415984
359 , vgg19 , 1.0
361 , squeezenetv1 , 4.372494569407062
360 , resnet50 , 3.6691563797474576
362 , googlenet , 1.1576834814098587
363 , resnet50 , 1.2801940877653322
364 , vgg19 , 1.1581430980977747
365 , yolov2 , 3.5758309568409286
366 , squeezenetv1 , 1.1210442683313044
367 , resnet50 , 1.3716664259844153
369 , googlenet , 2.3090595885661016
368 , vgg19 , 1.667519867601493
370 , resnet50 , 1.039234802214117
371 , vgg19 , 1.2717587708191957
372 , yolov2 , 5.796547015774863
373 , googlenet , 2.0336008324089145
374 , squeezenetv1 , 1.1223628638924812
375 , resnet50 , 1.0353078865282055
376 , vgg19 , 1.0
377 , yolov2 , 1.1176186022808787
378 , googlenet , 1.7274081724855563
379 , resnet50 , 1.5695859326517132
380 , vgg19 , 1.298121853017271
381 , squeezenetv1 , 1.8181697463552042
382 , resnet50 , 1.0482930435239397
383 , vgg19 , 1.3944847064715629
384 , googlenet , 5.996559554389127
385 , yolov2 , 2.4683768795369927
386 , resnet50 , 1.042324023823748
387 , vgg19 , 1.0
388 , squeezenetv1 , 7.256592773465069
389 , googlenet , 1.142431145427345
390 , resnet50 , 1.0128455413163542
391 , vgg19 , 1.0
392 , yolov2 , 7.2999353446352515
393 , squeezenetv1 , 1.1318564752869276
394 , resnet50 , 1.0341035764583597
395 , googlenet , 1.1528669887942178
396 , vgg19 , 1.1617830136471752
397 , resnet50 , 1.050335047670066
398 , yolov2 , 2.6524686439945135
399 , vgg19 , 1.0
400 , squeezenetv1 , 2.440400731829339
401 , googlenet , 3.354243079545513
402 , resnet50 , 1.025150096842149
403 , vgg19 , 1.0
404 , yolov2 , 3.4878993530462954
405 , resnet50 , 1.0830075134807027
406 , googlenet , 2.6659402555868965
407 , squeezenetv1 , 2.4476528816676173
408 , vgg19 , 1.0
409 , resnet50 , 1.7637357161075948
410 , googlenet , 1.1502292919526185
411 , yolov2 , 1.0611487882735293
412 , vgg19 , 1.0
413 , squeezenetv1 , 3.4571465559361605
414 , resnet50 , 1.0955214925255679
415 , vgg19 , 1.0
416 , googlenet , 4.969036755066368
417 , yolov2 , 2.980477526490697
418 , resnet50 , 1.6255061068377528
419 , vgg19 , 1.0
420 , squeezenetv1 , 6.088739117201152
421 , resnet50 , 1.0776144334249924
422 , googlenet , 3.539334853743877
423 , vgg19 , 1.0
424 , yolov2 , 5.287673290071786
425 , resnet50 , 1.0890811950063526
426 , squeezenetv1 , 1.5862341188676299
427 , googlenet , 1.6270641388611007
428 , vgg19 , 1.0477886696381955
429 , resnet50 , 1.0805989932091653
430 , yolov2 , 1.1784446522689231
431 , vgg19 , 1.0181855320760986
433 , squeezenetv1 , 3.2849419492894003
432 , googlenet , 5.057454173052292
434 , resnet50 , 1.62435422754879
435 , vgg19 , 1.0
436 , yolov2 , 1.2011939700948167
437 , resnet50 , 1.127251402698158
438 , googlenet , 2.18841738517603
439 , squeezenetv1 , 1.0995516385272597
440 , vgg19 , 1.0
441 , resnet50 , 1.086410920303016
442 , yolov2 , 1.0651823629027766
443 , googlenet , 1.14346323536408
444 , vgg19 , 1.0
445 , squeezenetv1 , 3.417589695086408
446 , resnet50 , 2.4492285284966786
447 , vgg19 , 1.0
450 , yolov2 , 2.312520214418239
449 , googlenet , 4.298279569398561
448 , resnet50 , 3.4763680988359167
451 , squeezenetv1 , 1.0899261172774184
452 , vgg19 , 1.0
453 , resnet50 , 1.8888229759072073
454 , googlenet , 2.6160549972587335
455 , yolov2 , 1.072604035590301
456 , vgg19 , 1.0
458 , squeezenetv1 , 2.049841679880182
457 , resnet50 , 2.557874893565515
459 , googlenet , 1.2158256779645353
460 , vgg19 , 1.0
461 , resnet50 , 2.2350774507495204
462 , yolov2 , 1.1515005060720958
463 , squeezenetv1 , 1.1244725413414478
465 , googlenet , 1.5110090869192088
464 , vgg19 , 1.3543405738098
466 , resnet50 , 2.951357817409456
467 , vgg19 , 1.0
469 , yolov2 , 4.6910295220519105
470 , squeezenetv1 , 4.459388080366425
471 , googlenet , 2.767889786749899
468 , resnet50 , 4.055623366032164
472 , vgg19 , 1.0
473 , resnet50 , 2.0042236239716327
474 , googlenet , 1.205619175765124
475 , yolov2 , 2.4056147075721865
477 , squeezenetv1 , 1.4347309343889307
476 , vgg19 , 1.3823868089479752
478 , resnet50 , 2.811505051031628
479 , vgg19 , 1.0
480 , googlenet , 2.3881880877550956
481 , resnet50 , 1.3325537625227175
482 , yolov2 , 2.680219366635924
483 , squeezenetv1 , 1.099683548382655
484 , vgg19 , 1.0
485 , resnet50 , 1.086358489522133
486 , googlenet , 2.6157109308243824
487 , vgg19 , 1.0
488 , resnet50 , 1.0668283731817254
489 , yolov2 , 4.1444014947360195
490 , squeezenetv1 , 2.3515294532764037
491 , googlenet , 1.1191513217520965
492 , vgg19 , 1.0
493 , resnet50 , 1.1011763270130774
494 , vgg19 , 1.0
496 , yolov2 , 7.991287374170535
495 , squeezenetv1 , 8.234836261076136
497 , googlenet , 6.999770221367269
498 , resnet50 , 3.846027674264436
499 , vgg19 , 1.0
500 , resnet50 , 3.086707528720583
502 , squeezenetv1 , 2.53072264154704
501 , googlenet , 4.63222480727741
503 , yolov2 , 2.6366568529608987
504 , vgg19 , 1.0
505 , resnet50 , 3.1374441462381366
506 , googlenet , 1.1641054715640466
507 , vgg19 , 1.0
510 , yolov2 , 2.0463052120963696
509 , squeezenetv1 , 3.889108703717827
508 , resnet50 , 3.9142524039762705
511 , vgg19 , 1.0
513 , googlenet , 4.50183478402285
512 , resnet50 , 3.3543180293376684
514 , vgg19 , 1.0
516 , yolov2 , 5.98434977044422
515 , squeezenetv1 , 8.134361945176177
518 , googlenet , 2.7949540131040536
517 , resnet50 , 3.8817892618165497
519 , vgg19 , 1.0146507584060331
520 , resnet50 , 3.0877547461840877
521 , googlenet , 1.2275229524356044
