limit, count
1.0 ,  0
1.1 ,  412
1.2 ,  552
1.3 ,  576
1.4 ,  594
1.5 ,  615
1.6 ,  630
1.7 ,  653
1.8 ,  669
1.9 ,  681
2.0 ,  695
2.1 ,  706
2.2 ,  721
2.3 ,  731
2.4 ,  741
2.5 ,  753
2.6 ,  764
2.7 ,  778
2.8 ,  788
2.9 ,  794
3.0 ,  802
3.1 ,  810
3.2 ,  818
3.3 ,  827
3.4 ,  838
3.5 ,  847
3.6 ,  851
3.7 ,  854
3.8 ,  862
3.9 ,  867
4.0 ,  878
4.1 ,  885
4.2 ,  888
4.3 ,  892
4.4 ,  893
4.5 ,  895
4.6 ,  898
4.7 ,  903
4.8 ,  908
4.9 ,  909
5.0 ,  912
5.1 ,  915
5.2 ,  916
5.3 ,  916
5.4 ,  922
5.5 ,  931
5.6 ,  933
5.7 ,  938
5.8 ,  944
5.9 ,  945
6.0 ,  948
6.1 ,  948
6.2 ,  951
6.3 ,  951
6.4 ,  955
6.5 ,  959
6.6 ,  961
6.7 ,  961
6.8 ,  966
6.9 ,  969
7.0 ,  971
7.1 ,  975
7.2 ,  975
7.3 ,  977
7.4 ,  980
7.5 ,  982
7.6 ,  983
7.7 ,  987
7.8 ,  990
7.9 ,  990
8.0 ,  991
8.1 ,  994
8.2 ,  994
8.3 ,  997
8.4 ,  998
8.5 ,  999
8.6 ,  1000
