limit, count
1.0 ,  0
1.1 ,  412
1.2 ,  140
1.3 ,  24
1.4 ,  18
1.5 ,  21
1.6 ,  15
1.7 ,  23
1.8 ,  16
1.9 ,  12
2.0 ,  14
2.1 ,  11
2.2 ,  15
2.3 ,  10
2.4 ,  10
2.5 ,  12
2.6 ,  11
2.7 ,  14
2.8 ,  10
2.9 ,  6
3.0 ,  8
3.1 ,  8
3.2 ,  8
3.3 ,  9
3.4 ,  11
3.5 ,  9
3.6 ,  4
3.7 ,  3
3.8 ,  8
3.9 ,  5
4.0 ,  11
4.1 ,  7
4.2 ,  3
4.3 ,  4
4.4 ,  1
4.5 ,  2
4.6 ,  3
4.7 ,  5
4.8 ,  5
4.9 ,  1
5.0 ,  3
5.1 ,  3
5.2 ,  1
5.3 ,  0
5.4 ,  6
5.5 ,  9
5.6 ,  2
5.7 ,  5
5.8 ,  6
5.9 ,  1
6.0 ,  3
6.1 ,  0
6.2 ,  3
6.3 ,  0
6.4 ,  4
6.5 ,  4
6.6 ,  2
6.7 ,  0
6.8 ,  5
6.9 ,  3
7.0 ,  2
7.1 ,  4
7.2 ,  0
7.3 ,  2
7.4 ,  3
7.5 ,  2
7.6 ,  1
7.7 ,  4
7.8 ,  3
7.9 ,  0
8.0 ,  1
8.1 ,  3
8.2 ,  0
8.3 ,  3
8.4 ,  1
8.5 ,  1
8.6 ,  1
