limit, count
1.0 ,  0
1.1 ,  26
1.2 ,  64
1.3 ,  75
1.4 ,  76
1.5 ,  77
1.6 ,  80
1.7 ,  85
1.8 ,  91
1.9 ,  100
2.0 ,  103
2.1 ,  109
2.2 ,  112
2.3 ,  112
2.4 ,  114
2.5 ,  115
2.6 ,  118
2.7 ,  120
2.8 ,  124
2.9 ,  125
3.0 ,  127
3.1 ,  130
3.2 ,  133
3.3 ,  137
3.4 ,  138
3.5 ,  141
3.6 ,  145
3.7 ,  145
3.8 ,  148
3.9 ,  152
4.0 ,  155
4.1 ,  156
4.2 ,  158
4.3 ,  159
4.4 ,  161
4.5 ,  162
4.6 ,  166
4.7 ,  167
4.8 ,  167
4.9 ,  170
5.0 ,  171
5.1 ,  172
5.2 ,  172
5.3 ,  172
5.4 ,  176
5.5 ,  176
5.6 ,  178
5.7 ,  180
5.8 ,  181
5.9 ,  181
6.0 ,  182
6.1 ,  183
6.2 ,  186
6.3 ,  187
6.4 ,  188
6.5 ,  188
6.6 ,  190
6.7 ,  190
6.8 ,  192
6.9 ,  193
7.0 ,  197
7.1 ,  197
7.2 ,  199
7.3 ,  199
7.4 ,  199
7.5 ,  199
7.6 ,  200
