limit, count
1.0 ,  0
1.1 ,  53
1.2 ,  109
1.3 ,  110
1.4 ,  113
1.5 ,  115
1.6 ,  117
1.7 ,  120
1.8 ,  124
1.9 ,  128
2.0 ,  132
2.1 ,  136
2.2 ,  139
2.3 ,  140
2.4 ,  141
2.5 ,  148
2.6 ,  156
2.7 ,  159
2.8 ,  161
2.9 ,  165
3.0 ,  168
3.1 ,  170
3.2 ,  171
3.3 ,  171
3.4 ,  173
3.5 ,  177
3.6 ,  178
3.7 ,  179
3.8 ,  182
3.9 ,  185
4.0 ,  188
4.1 ,  189
4.2 ,  189
4.3 ,  189
4.4 ,  190
4.5 ,  191
4.6 ,  192
4.7 ,  192
4.8 ,  193
4.9 ,  195
5.0 ,  195
5.1 ,  196
5.2 ,  197
5.3 ,  198
5.4 ,  198
5.5 ,  198
5.6 ,  198
5.7 ,  198
5.8 ,  198
5.9 ,  198
6.0 ,  198
6.1 ,  198
6.2 ,  198
6.3 ,  198
6.4 ,  198
6.5 ,  198
6.6 ,  198
6.7 ,  198
6.8 ,  199
6.9 ,  199
7.0 ,  199
7.1 ,  200
