limit, count
1.0 ,  0
1.1 ,  27
1.2 ,  70
1.3 ,  78
1.4 ,  79
1.5 ,  79
1.6 ,  79
1.7 ,  81
1.8 ,  81
1.9 ,  83
2.0 ,  87
2.1 ,  90
2.2 ,  95
2.3 ,  97
2.4 ,  103
2.5 ,  105
2.6 ,  110
2.7 ,  111
2.8 ,  114
2.9 ,  116
3.0 ,  120
3.1 ,  122
3.2 ,  123
3.3 ,  124
3.4 ,  125
3.5 ,  127
3.6 ,  128
3.7 ,  131
3.8 ,  132
3.9 ,  135
4.0 ,  136
4.1 ,  137
4.2 ,  137
4.3 ,  141
4.4 ,  143
4.5 ,  146
4.6 ,  152
4.7 ,  154
4.8 ,  156
4.9 ,  156
5.0 ,  156
5.1 ,  156
5.2 ,  156
5.3 ,  156
5.4 ,  157
5.5 ,  158
5.6 ,  159
5.7 ,  162
5.8 ,  162
5.9 ,  163
6.0 ,  166
6.1 ,  169
6.2 ,  169
6.3 ,  170
6.4 ,  170
6.5 ,  174
6.6 ,  174
6.7 ,  175
6.8 ,  175
6.9 ,  176
7.0 ,  176
7.1 ,  177
7.2 ,  177
7.3 ,  182
7.4 ,  182
7.5 ,  183
7.6 ,  184
7.7 ,  185
7.8 ,  185
7.9 ,  186
8.0 ,  186
8.1 ,  186
8.2 ,  186
8.3 ,  186
8.4 ,  187
8.5 ,  187
8.6 ,  191
8.7 ,  193
8.8 ,  194
8.9 ,  195
