limit, count
1.0 ,  0
1.1 ,  2
1.2 ,  32
1.3 ,  41
1.4 ,  45
1.5 ,  50
1.6 ,  56
1.7 ,  65
1.8 ,  71
1.9 ,  77
2.0 ,  90
2.1 ,  102
2.2 ,  113
2.3 ,  117
2.4 ,  122
2.5 ,  125
2.6 ,  133
2.7 ,  140
2.8 ,  145
2.9 ,  149
3.0 ,  152
3.1 ,  155
3.2 ,  161
3.3 ,  166
3.4 ,  170
3.5 ,  173
3.6 ,  176
3.7 ,  177
3.8 ,  181
3.9 ,  183
4.0 ,  184
4.1 ,  185
4.2 ,  186
4.3 ,  188
4.4 ,  189
4.5 ,  189
4.6 ,  189
4.7 ,  189
4.8 ,  189
4.9 ,  189
5.0 ,  189
5.1 ,  189
5.2 ,  189
5.3 ,  189
5.4 ,  189
5.5 ,  189
5.6 ,  189
5.7 ,  189
5.8 ,  190
