limit, count
1.0 ,  0
1.1 ,  9
1.2 ,  60
1.3 ,  167
1.4 ,  212
1.5 ,  253
1.6 ,  301
1.7 ,  352
1.8 ,  404
1.9 ,  465
2.0 ,  535
2.1 ,  589
2.2 ,  655
2.3 ,  695
2.4 ,  722
2.5 ,  745
2.6 ,  771
2.7 ,  800
2.8 ,  820
2.9 ,  837
3.0 ,  849
3.1 ,  867
3.2 ,  885
3.3 ,  898
3.4 ,  913
3.5 ,  922
3.6 ,  936
3.7 ,  940
3.8 ,  957
3.9 ,  964
4.0 ,  969
4.1 ,  972
4.2 ,  978
4.3 ,  983
4.4 ,  990
4.5 ,  991
4.6 ,  995
4.7 ,  997
4.8 ,  997
4.9 ,  999
5.0 ,  999
5.1 ,  999
5.2 ,  999
5.3 ,  999
5.4 ,  999
5.5 ,  999
5.6 ,  999
5.7 ,  999
5.8 ,  1000
