id, model-name, radio
1 , squeezenetv1 , 1.346717330074213
2 , yolov2 , 2.3747321107775985
3 , googlenet , 1.3161813298299991
6 , yolov2 , 2.205757758108505
7 , squeezenetv1 , 3.5655180510219626
5 , resnet50 , 3.534015293755166
4 , vgg19 , 2.3856464788281686
8 , googlenet , 1.1665537976348834
9 , yolov2 , 1.3472490851610617
10 , squeezenetv1 , 1.2032012512123869
11 , resnet50 , 1.3461994450055987
12 , vgg19 , 1.8203603608529162
13 , yolov2 , 3.0032916188652314
14 , googlenet , 2.207966419301799
15 , squeezenetv1 , 1.828676010441
16 , yolov2 , 1.2141699636545902
19 , googlenet , 1.4248475730001493
18 , resnet50 , 2.187345409729652
20 , squeezenetv1 , 2.3266413349628934
17 , vgg19 , 2.1791337465272145
21 , yolov2 , 4.282198597203361
22 , squeezenetv1 , 1.1379543802944398
23 , googlenet , 1.113856891394236
25 , yolov2 , 3.1860598420031914
26 , resnet50 , 1.8494232186285078
24 , vgg19 , 1.8832121319032191
27 , squeezenetv1 , 1.1619641524805138
28 , yolov2 , 1.2301582965291245
29 , googlenet , 1.1134054511383988
31 , squeezenetv1 , 3.193434498442938
33 , yolov2 , 2.9523483999072884
32 , resnet50 , 2.9736522241156336
30 , vgg19 , 2.1007482097174157
34 , googlenet , 1.12852627839648
35 , squeezenetv1 , 1.116657638110232
36 , yolov2 , 1.1997491466374013
38 , resnet50 , 1.4004113100799387
39 , squeezenetv1 , 2.4293271661016136
37 , vgg19 , 2.0174518481402335
40 , googlenet , 2.3564656198920395
41 , yolov2 , 1.2425413877777263
42 , squeezenetv1 , 1.173901251632821
46 , yolov2 , 1.4627722831923837
45 , googlenet , 2.6605729944457246
44 , resnet50 , 2.3478375060948675
43 , vgg19 , 2.292148807043775
47 , squeezenetv1 , 1.1802767168999375
48 , yolov2 , 1.2176184686434417
50 , googlenet , 2.641728511470726
52 , squeezenetv1 , 2.531606016867176
51 , resnet50 , 2.7705539873146985
49 , vgg19 , 2.142164670459843
53 , yolov2 , 2.618945580247327
54 , googlenet , 1.1303317165781668
55 , squeezenetv1 , 2.438686938497905
58 , yolov2 , 3.2824598249318284
57 , resnet50 , 1.987435947803006
56 , vgg19 , 1.8751397194691954
59 , squeezenetv1 , 1.1600650832249637
60 , googlenet , 1.0522454659848108
61 , yolov2 , 1.2216939201806156
64 , squeezenetv1 , 3.0705370336292437
63 , resnet50 , 2.6768726075463682
65 , yolov2 , 3.882021037091273
62 , vgg19 , 2.095204938772681
66 , googlenet , 2.6009927811528484
67 , squeezenetv1 , 1.52807922016558
69 , yolov2 , 2.1704895482374753
68 , resnet50 , 1.6346670083448582
72 , squeezenetv1 , 1.7813347235693189
71 , googlenet , 3.504964928096167
70 , vgg19 , 2.0017493979057717
73 , yolov2 , 1.2818851986724698
74 , squeezenetv1 , 1.1520618258296058
76 , googlenet , 1.7931616970753022
75 , resnet50 , 1.7721047010997184
78 , yolov2 , 2.9264851356937904
79 , squeezenetv1 , 2.2608517804259387
77 , vgg19 , 1.9134999198386933
80 , googlenet , 1.1378920225933205
81 , yolov2 , 1.6449135597820217
82 , resnet50 , 1.2268498234607281
83 , squeezenetv1 , 1.664812724022741
84 , vgg19 , 1.1924544330810678
85 , yolov2 , 1.2499085329234014
86 , googlenet , 1.142292892500937
87 , squeezenetv1 , 1.6072978333728434
88 , resnet50 , 1.2797024208963468
89 , yolov2 , 2.5245833978305465
91 , squeezenetv1 , 3.501763398350798
90 , vgg19 , 1.5281483574329149
92 , googlenet , 2.8627848687557176
93 , yolov2 , 1.24066039864622
94 , squeezenetv1 , 1.1303581032722398
95 , resnet50 , 1.2829436440377986
97 , googlenet , 1.6610245423154484
98 , yolov2 , 2.5153352635533652
96 , vgg19 , 1.583328120570324
99 , squeezenetv1 , 4.0065109097841844
100 , yolov2 , 1.198181705523326
101 , squeezenetv1 , 1.1672543798740056
103 , googlenet , 1.665538191576609
102 , resnet50 , 2.212072673754827
104 , vgg19 , 1.762229986246346
105 , yolov2 , 1.7463294140703158
106 , squeezenetv1 , 1.1593868257244972
107 , googlenet , 1.1062964777651954
108 , resnet50 , 1.2582163800126234
109 , yolov2 , 2.652803085641362
111 , squeezenetv1 , 1.6949266843486228
