id, model-name, radio
799 , squeezenetv1 , 1.0
980 , googlenet , 1.036742273840338
795 , squeezenetv1 , 1.0386658141376346
896 , googlenet , 1.0425138580294115
922 , googlenet , 1.0528123103529443
927 , googlenet , 1.0534912758172275
796 , googlenet , 1.0540571343340348
953 , googlenet , 1.0540571343340348
390 , squeezenetv1 , 1.0582709306361944
985 , googlenet , 1.060168255218488
901 , googlenet , 1.062431581359241
488 , googlenet , 1.0652608739432783
25 , squeezenetv1 , 1.0658951967078305
404 , squeezenetv1 , 1.0707964596024782
996 , googlenet , 1.0762382917310942
394 , squeezenetv1 , 1.0762424010364862
932 , googlenet , 1.0782752960504198
907 , googlenet , 1.0788411545672272
409 , squeezenetv1 , 1.0801906387871756
168 , googlenet , 1.0815572322773124
23 , googlenet , 1.0829152711323549
540 , googlenet , 1.0867629579495783
462 , googlenet , 1.086989279771006
729 , squeezenetv1 , 1.0882233163833785
137 , googlenet , 1.0920818984957963
508 , googlenet , 1.0923083282437005
28 , googlenet , 1.0927609718865559
420 , squeezenetv1 , 1.096936744773829
219 , googlenet , 1.0990984145924367
821 , googlenet , 1.1018144923025217
991 , googlenet , 1.1020408141239495
53 , googlenet , 1.1031725311575644
621 , googlenet , 1.103398852978992
584 , googlenet , 1.1035120678529442
493 , googlenet , 1.1076992913655472
182 , googlenet , 1.1115469781827707
79 , googlenet , 1.1124523733949578
671 , googlenet , 1.1141499489453803
743 , googlenet , 1.1144893777142835
763 , googlenet , 1.1144893777142835
640 , googlenet , 1.1148289144096633
364 , squeezenetv1 , 1.1161334497478217
744 , squeezenetv1 , 1.116405724097533
534 , googlenet , 1.1176582069937004
717 , googlenet , 1.1176582069937004
99 , googlenet , 1.1179976357626036
238 , googlenet , 1.1179976357626036
214 , squeezenetv1 , 1.1184479764802744
723 , googlenet , 1.1184503873319356
363 , googlenet , 1.1192425676701707
467 , googlenet , 1.119355674617646
480 , squeezenetv1 , 1.1194010016242326
910 , squeezenetv1 , 1.1198094780687686
169 , squeezenetv1 , 1.1200817524184798
307 , googlenet , 1.1202610698298334
72 , squeezenetv1 , 1.121443254006974
318 , googlenet , 1.122411289023111
130 , googlenet , 1.1225243959705866
233 , googlenet , 1.1227507177920142
87 , squeezenetv1 , 1.1237576508994889
241 , squeezenetv1 , 1.1238938529943134
832 , squeezenetv1 , 1.1241661273440247
545 , googlenet , 1.124221971521009
489 , squeezenetv1 , 1.1272974771256112
337 , googlenet , 1.1284091950336121
261 , squeezenetv1 , 1.1286589787141055
915 , squeezenetv1 , 1.1286589787141055
571 , squeezenetv1 , 1.1290674551586413
184 , squeezenetv1 , 1.1292035274135281
992 , squeezenetv1 , 1.1309735054465582
35 , squeezenetv1 , 1.1312457797962694
447 , googlenet , 1.131464809439077
699 , squeezenetv1 , 1.131790328495692
156 , googlenet , 1.132256989777312
92 , squeezenetv1 , 1.132471079289939
287 , squeezenetv1 , 1.1326072813847636
475 , squeezenetv1 , 1.1330156279893617
58 , googlenet , 1.134859852613445
653 , squeezenetv1 , 1.1349218081172163
546 , squeezenetv1 , 1.1353301547218144
645 , googlenet , 1.1363311063424397
118 , squeezenetv1 , 1.1368278584051332
876 , googlenet , 1.1368968569327706
749 , squeezenetv1 , 1.1369639306600199
368 , googlenet , 1.1372363936281504
519 , googlenet , 1.1373496085021024
589 , googlenet , 1.137462715449578
370 , squeezenetv1 , 1.1403676846312556
869 , squeezenetv1 , 1.1405037568861423
748 , googlenet , 1.1407446516764705
768 , googlenet , 1.1410841883718503
889 , squeezenetv1 , 1.1415929841249253
306 , squeezenetv1 , 1.1426820815237704
961 , squeezenetv1 , 1.1426820815237704
972 , squeezenetv1 , 1.1426820815237704
851 , googlenet , 1.142781655995796
770 , squeezenetv1 , 1.1437713087625534
256 , squeezenetv1 , 1.143907510857378
46 , squeezenetv1 , 1.1441797852070892
292 , squeezenetv1 , 1.1441797852070892
141 , googlenet , 1.1448187682415982
679 , squeezenetv1 , 1.144996608256223
775 , squeezenetv1 , 1.1454050847007589
342 , googlenet , 1.1474216310777312
445 , squeezenetv1 , 1.1479918857829228
551 , squeezenetv1 , 1.148264160132634
435 , squeezenetv1 , 1.1488087088320567
697 , googlenet , 1.1494586353970566
710 , squeezenetv1 , 1.1504424847702621
478 , googlenet , 1.1505903524306715
609 , googlenet , 1.1507035673046238
874 , squeezenetv1 , 1.152348535058179
861 , googlenet , 1.1528537864979014
676 , googlenet , 1.1533064301407567
594 , googlenet , 1.1539853956050397
421 , googlenet , 1.1540986104789916
728 , googlenet , 1.1555698642079864
264 , googlenet , 1.1561356147983173
463 , yolov2 , 1.156486050047073
189 , squeezenetv1 , 1.157113660777971
620 , squeezenetv1 , 1.1575221372225069
123 , squeezenetv1 , 1.158883638811001
526 , squeezenetv1 , 1.159292115255537
863 , squeezenetv1 , 1.159292115255537
819 , squeezenetv1 , 1.159700461860135
684 , squeezenetv1 , 1.1598366639549595
378 , vgg19 , 1.1610094305949616
724 , squeezenetv1 , 1.1626957393868347
967 , squeezenetv1 , 1.16555481481871
424 , vgg19 , 1.1672118993146137
208 , squeezenetv1 , 1.1678693415511627
455 , squeezenetv1 , 1.1689585687899458
451 , vgg19 , 1.170695429907023
650 , googlenet , 1.1717530076680682
858 , squeezenetv1 , 1.173995968859449
201 , resnet50 , 1.1750374405834219
779 , squeezenetv1 , 1.1761742934970771
686 , vgg19 , 1.1786822448194931
88 , vgg19 , 1.179468147990291
881 , googlenet , 1.180014347745799
165 , vgg19 , 1.1808913465975595
946 , squeezenetv1 , 1.1817563721059408
769 , resnet50 , 1.1848652237654473
583 , resnet50 , 1.1854859777862403
875 , resnet50 , 1.1858997480283267
78 , resnet50 , 1.1870894607964042
771 , vgg19 , 1.1881983256915951
191 , vgg19 , 1.1885807029534774
171 , vgg19 , 1.189430295153273
237 , vgg19 , 1.1901100499424084
524 , googlenet , 1.19019958519538
752 , vgg19 , 1.1945070238222089
553 , vgg19 , 1.1946344829095028
726 , vgg19 , 1.194889320054792
649 , vgg19 , 1.1949955494657536
145 , vgg19 , 1.1955053858149298
706 , vgg19 , 1.1958452226948482
211 , vgg19 , 1.197990554414618
51 , squeezenetv1 , 1.1980940016480583
977 , squeezenetv1 , 1.2016338278741807
732 , vgg19 , 1.2022176098544592
257 , vgg19 , 1.2025999871163415
619 , resnet50 , 1.2026069301089377
11 , vgg19 , 1.2026424464690064
618 , vgg19 , 1.202791135232633
868 , resnet50 , 1.2029690037351792
971 , resnet50 , 1.2034862658666188
680 , vgg19 , 1.20366203813806
777 , vgg19 , 1.2048090888944079
24 , vgg19 , 1.2063384358833389
12 , yolov2 , 1.207389159244502
305 , yolov2 , 1.209687999739423
1000 , vgg19 , 1.212052378959446
13 , googlenet , 1.2146440687331925
828 , vgg19 , 1.2155146798755228
994 , resnet50 , 1.2205038249576265
929 , resnet50 , 1.223969372714842
993 , yolov2 , 1.2239736961283643
487 , resnet50 , 1.2249521017042124
833 , resnet50 , 1.2259866259670917
914 , resnet50 , 1.2260383225829365
940 , resnet50 , 1.2261935110881348
552 , resnet50 , 1.2281073711086952
175 , resnet50 , 1.228365952845583
528 , resnet50 , 1.2284694447349365
711 , resnet50 , 1.2296073622295054
190 , resnet50 , 1.2300212311292553
170 , resnet50 , 1.2302281162502984
572 , resnet50 , 1.2302281162502984
904 , vgg19 , 1.23136076958387
136 , yolov2 , 1.2318554461535762
85 , resnet50 , 1.2319867877656605
845 , resnet50 , 1.2320384843815053
135 , resnet50 , 1.2320901809973501
345 , yolov2 , 1.232512291280003
183 , yolov2 , 1.2331691364064299
634 , resnet50 , 1.233641967391669
855 , yolov2 , 1.2336617115274637
654 , resnet50 , 1.2341074342496
685 , resnet50 , 1.234779884886238
730 , yolov2 , 1.2348111317749242
273 , resnet50 , 1.2355040321387205
928 , yolov2 , 1.2366173971488115
966 , resnet50 , 1.2372627036540826
27 , yolov2 , 1.2379310091032831
54 , yolov2 , 1.2380952008102943
702 , yolov2 , 1.2382593925173055
641 , yolov2 , 1.2387520459367212
623 , resnet50 , 1.2396420305325737
