limit, count
1.0 ,  0
1.1 ,  2
1.2 ,  72
1.3 ,  77
1.4 ,  79
1.5 ,  80
1.6 ,  82
1.7 ,  84
1.8 ,  84
1.9 ,  86
2.0 ,  90
2.1 ,  97
2.2 ,  99
2.3 ,  101
2.4 ,  101
2.5 ,  105
2.6 ,  108
2.7 ,  109
2.8 ,  110
2.9 ,  110
3.0 ,  113
3.1 ,  116
3.2 ,  116
3.3 ,  117
3.4 ,  117
3.5 ,  117
3.6 ,  118
3.7 ,  119
3.8 ,  121
3.9 ,  124
4.0 ,  125
4.1 ,  127
4.2 ,  128
4.3 ,  129
4.4 ,  130
4.5 ,  130
4.6 ,  130
4.7 ,  131
4.8 ,  132
4.9 ,  132
5.0 ,  132
5.1 ,  132
5.2 ,  132
5.3 ,  132
5.4 ,  133
5.5 ,  134
5.6 ,  135
5.7 ,  135
5.8 ,  136
5.9 ,  136
6.0 ,  136
6.1 ,  136
6.2 ,  137
6.3 ,  137
6.4 ,  138
6.5 ,  141
6.6 ,  141
6.7 ,  142
6.8 ,  143
6.9 ,  144
7.0 ,  145
7.1 ,  145
7.2 ,  146
7.3 ,  146
7.4 ,  147
7.5 ,  147
7.6 ,  147
7.7 ,  147
7.8 ,  147
7.9 ,  148
8.0 ,  148
8.1 ,  148
8.2 ,  148
8.3 ,  149
8.4 ,  149
8.5 ,  149
8.6 ,  150
8.7 ,  151
8.8 ,  151
8.9 ,  152
