limit, count
1.0 ,  0
1.1 ,  370
1.2 ,  167
1.3 ,  33
1.4 ,  26
1.5 ,  17
1.6 ,  22
1.7 ,  13
1.8 ,  13
1.9 ,  7
2.0 ,  16
2.1 ,  15
2.2 ,  5
2.3 ,  7
2.4 ,  7
2.5 ,  11
2.6 ,  10
2.7 ,  5
2.8 ,  12
2.9 ,  10
3.0 ,  10
3.1 ,  11
3.2 ,  7
3.3 ,  12
3.4 ,  9
3.5 ,  12
3.6 ,  10
3.7 ,  9
3.8 ,  5
3.9 ,  5
4.0 ,  10
4.1 ,  5
4.2 ,  7
4.3 ,  8
4.4 ,  2
4.5 ,  4
4.6 ,  3
4.7 ,  2
4.8 ,  7
4.9 ,  2
5.0 ,  2
5.1 ,  3
5.2 ,  2
5.3 ,  1
5.4 ,  2
5.5 ,  5
5.6 ,  5
5.7 ,  1
5.8 ,  4
5.9 ,  4
6.0 ,  2
6.1 ,  1
6.2 ,  3
6.3 ,  2
6.4 ,  2
6.5 ,  3
6.6 ,  1
6.7 ,  3
6.8 ,  1
6.9 ,  1
7.0 ,  3
7.1 ,  4
7.2 ,  2
7.3 ,  1
7.4 ,  3
7.5 ,  2
7.6 ,  1
7.7 ,  0
7.8 ,  0
7.9 ,  3
8.0 ,  1
8.1 ,  1
8.2 ,  1
8.3 ,  5
8.4 ,  3
8.5 ,  1
8.6 ,  1
8.7 ,  3
8.8 ,  2
8.9 ,  2
9.0 ,  1
9.1 ,  0
9.2 ,  0
9.3 ,  0
9.4 ,  0
9.5 ,  1
9.6 ,  1
9.7 ,  0
9.8 ,  0
9.9 ,  0
10.0 ,  0
10.1 ,  0
10.2 ,  1
10.3 ,  1
10.4 ,  0
10.5 ,  1
10.6 ,  0
10.7 ,  0
10.8 ,  0
10.9 ,  0
11.0 ,  0
11.1 ,  0
11.2 ,  0
11.3 ,  0
11.4 ,  0
11.5 ,  0
11.6 ,  0
11.7 ,  0
11.8 ,  0
11.9 ,  0
12.0 ,  1
