limit, count
1.0 ,  0
1.1 ,  5
1.2 ,  63
1.3 ,  72
1.4 ,  73
1.5 ,  73
1.6 ,  76
1.7 ,  80
1.8 ,  87
1.9 ,  90
2.0 ,  94
2.1 ,  98
2.2 ,  98
2.3 ,  99
2.4 ,  101
2.5 ,  104
2.6 ,  104
2.7 ,  107
2.8 ,  109
2.9 ,  111
3.0 ,  114
3.1 ,  116
3.2 ,  118
3.3 ,  120
3.4 ,  123
3.5 ,  124
3.6 ,  125
3.7 ,  128
3.8 ,  128
3.9 ,  131
4.0 ,  132
4.1 ,  133
4.2 ,  134
4.3 ,  140
4.4 ,  143
4.5 ,  147
4.6 ,  147
4.7 ,  148
4.8 ,  150
4.9 ,  151
5.0 ,  152
5.1 ,  152
5.2 ,  154
5.3 ,  156
5.4 ,  160
5.5 ,  162
5.6 ,  165
5.7 ,  168
5.8 ,  172
5.9 ,  173
6.0 ,  175
6.1 ,  180
6.2 ,  183
6.3 ,  186
6.4 ,  188
6.5 ,  189
6.6 ,  191
6.7 ,  191
6.8 ,  191
6.9 ,  192
7.0 ,  192
7.1 ,  193
7.2 ,  193
7.3 ,  193
7.4 ,  194
