id, model-name, radio
1 , vgg19 , 1.1856292800860913
2 , yolov2 , 6.234121468330872
3 , squeezenetv1 , 5.3351016778290115
4 , googlenet , 3.8904762316671784
5 , resnet50 , 1.670373717641248
6 , vgg19 , 1.0970859648962419
7 , yolov2 , 1.2643875398385922
8 , googlenet , 1.2715420114094917
9 , squeezenetv1 , 2.7132841865529542
10 , vgg19 , 1.0805259691329336
11 , resnet50 , 2.964938583462318
12 , yolov2 , 1.1348172171138984
13 , vgg19 , 1.1052688581992298
14 , googlenet , 6.565873163474056
15 , squeezenetv1 , 6.878967244585402
16 , vgg19 , 1.0
17 , resnet50 , 2.817532418063648
18 , yolov2 , 7.217165569343346
19 , googlenet , 5.54693894321637
20 , squeezenetv1 , 1.0702030125464042
21 , vgg19 , 1.0
22 , yolov2 , 1.6784492010001413
23 , googlenet , 1.1716553278174482
24 , resnet50 , 1.021765283213346
25 , vgg19 , 1.0
26 , squeezenetv1 , 4.685147978102616
27 , yolov2 , 1.1102949977684304
28 , vgg19 , 1.0
29 , googlenet , 5.716213328950612
30 , squeezenetv1 , 1.1658210944759162
31 , resnet50 , 1.4753349958474244
32 , vgg19 , 1.0
33 , yolov2 , 5.092511020176881
34 , googlenet , 2.791610044504803
35 , squeezenetv1 , 1.1034133139712807
36 , vgg19 , 1.0
37 , resnet50 , 2.5015558626891106
38 , yolov2 , 1.1338230645450178
39 , googlenet , 1.1359410884430239
40 , vgg19 , 1.0
41 , squeezenetv1 , 4.187407829991888
42 , resnet50 , 1.0494536396219958
43 , vgg19 , 1.2725964372420686
44 , googlenet , 7.0065762442098345
45 , yolov2 , 10.018668072580486
46 , squeezenetv1 , 1.1398063715563636
47 , vgg19 , 1.0
48 , yolov2 , 1.199105302191805
49 , googlenet , 1.1904762316671784
50 , resnet50 , 1.458679570997307
51 , vgg19 , 1.0
52 , squeezenetv1 , 4.447693623494911
53 , googlenet , 1.1530612730363174
54 , vgg19 , 1.0
55 , yolov2 , 8.371037364192857
56 , resnet50 , 2.919745975077262
57 , squeezenetv1 , 1.1299816342907862
58 , vgg19 , 1.0
59 , googlenet , 4.296825410555726
60 , yolov2 , 4.129018138642686
61 , resnet50 , 1.0275469189446984
62 , squeezenetv1 , 2.1694650718310773
63 , vgg19 , 1.0
64 , googlenet , 2.6992063526389316
65 , yolov2 , 1.795924013971387
66 , vgg19 , 1.0
67 , squeezenetv1 , 7.120433893674196
68 , resnet50 , 2.5483927068854246
69 , googlenet , 2.4257370972834336
70 , vgg19 , 1.0
71 , yolov2 , 6.792997177611681
72 , squeezenetv1 , 2.3737084651838702
73 , resnet50 , 1.0379433819154498
74 , googlenet , 2.0319729597640253
75 , vgg19 , 1.361873760917985
76 , yolov2 , 4.951508061421452
77 , squeezenetv1 , 1.148247313271069
78 , vgg19 , 1.0
79 , googlenet , 3.6362811457932365
80 , resnet50 , 1.4841401355917867
81 , yolov2 , 1.1044957612820279
82 , vgg19 , 1.0
83 , squeezenetv1 , 7.391236586150247
84 , googlenet , 1.125170082738278
85 , vgg19 , 1.0
86 , yolov2 , 6.97591998616419
87 , resnet50 , 2.8799638049591536
88 , squeezenetv1 , 6.461208790150163
89 , googlenet , 1.1571429343759596
90 , vgg19 , 1.0
91 , yolov2 , 3.57859276570116
92 , squeezenetv1 , 1.19086718690306
93 , resnet50 , 1.0237278039041393
94 , vgg19 , 1.0
95 , googlenet , 5.222789140655073
96 , yolov2 , 1.1194079708076417
97 , squeezenetv1 , 1.1294280368908334
98 , vgg19 , 1.0
99 , resnet50 , 1.220941303755974
100 , googlenet , 3.2696145512107986
101 , vgg19 , 1.0
102 , yolov2 , 7.875787419320407
103 , squeezenetv1 , 5.570479943212388
104 , googlenet , 1.1285715212511516
105 , vgg19 , 1.0
106 , resnet50 , 2.419922974249782
107 , yolov2 , 4.018170798777057
108 , squeezenetv1 , 4.006965165856857
109 , vgg19 , 1.0
110 , googlenet , 3.9575963081341285
111 , resnet50 , 1.0435658752070345
112 , yolov2 , 4.078151152748465
113 , squeezenetv1 , 2.914621820394528
114 , vgg19 , 1.3435648943969176
115 , googlenet , 1.7982993888699068
116 , vgg19 , 1.0
117 , yolov2 , 6.329725082801935
118 , squeezenetv1 , 3.1767068384389003
119 , resnet50 , 1.9285336121883887
120 , vgg19 , 1.0
121 , googlenet , 5.751247561750954
122 , yolov2 , 2.2363305206892843
123 , squeezenetv1 , 1.1522601356161868
124 , vgg19 , 1.0
125 , resnet50 , 2.415095889643166
126 , googlenet , 2.689002253352998
127 , yolov2 , 1.1096322030533117
