limit, count
1.0 ,  0
1.1 ,  327
1.2 ,  495
1.3 ,  526
1.4 ,  537
1.5 ,  546
1.6 ,  558
1.7 ,  571
1.8 ,  584
1.9 ,  594
2.0 ,  603
2.1 ,  619
2.2 ,  626
2.3 ,  632
2.4 ,  637
2.5 ,  656
2.6 ,  666
2.7 ,  678
2.8 ,  690
2.9 ,  700
3.0 ,  714
3.1 ,  722
3.2 ,  730
3.3 ,  745
3.4 ,  757
3.5 ,  767
3.6 ,  771
3.7 ,  777
3.8 ,  778
3.9 ,  784
4.0 ,  788
4.1 ,  797
4.2 ,  801
4.3 ,  808
4.4 ,  817
4.5 ,  822
4.6 ,  825
4.7 ,  830
4.8 ,  835
4.9 ,  839
5.0 ,  844
5.1 ,  845
5.2 ,  849
5.3 ,  855
5.4 ,  863
5.5 ,  867
5.6 ,  877
5.7 ,  883
5.8 ,  887
5.9 ,  894
6.0 ,  901
6.1 ,  910
6.2 ,  917
6.3 ,  925
6.4 ,  930
6.5 ,  935
6.6 ,  938
6.7 ,  938
6.8 ,  940
6.9 ,  944
7.0 ,  949
7.1 ,  952
7.2 ,  955
7.3 ,  957
7.4 ,  962
7.5 ,  967
7.6 ,  969
7.7 ,  969
7.8 ,  973
7.9 ,  976
8.0 ,  977
8.1 ,  978
8.2 ,  979
8.3 ,  979
8.4 ,  982
8.5 ,  984
8.6 ,  989
8.7 ,  989
8.8 ,  990
8.9 ,  992
9.0 ,  993
9.1 ,  994
9.2 ,  994
9.3 ,  994
9.4 ,  994
9.5 ,  995
9.6 ,  996
9.7 ,  996
9.8 ,  996
9.9 ,  997
10.0 ,  997
10.1 ,  998
10.2 ,  998
10.3 ,  998
10.4 ,  998
10.5 ,  999
10.6 ,  999
10.7 ,  999
10.8 ,  999
10.9 ,  999
11.0 ,  999
11.1 ,  999
11.2 ,  999
11.3 ,  999
11.4 ,  999
11.5 ,  1000
