limit, count
1.0 ,  0
1.1 ,  67
1.2 ,  94
1.3 ,  96
1.4 ,  99
1.5 ,  99
1.6 ,  101
1.7 ,  104
1.8 ,  107
1.9 ,  109
2.0 ,  112
2.1 ,  112
2.2 ,  114
2.3 ,  117
2.4 ,  120
2.5 ,  122
2.6 ,  127
2.7 ,  128
2.8 ,  129
2.9 ,  131
3.0 ,  132
3.1 ,  132
3.2 ,  135
3.3 ,  137
3.4 ,  138
3.5 ,  138
3.6 ,  140
3.7 ,  141
3.8 ,  143
3.9 ,  145
4.0 ,  146
4.1 ,  147
4.2 ,  150
4.3 ,  155
4.4 ,  157
4.5 ,  158
4.6 ,  159
4.7 ,  160
4.8 ,  161
4.9 ,  161
5.0 ,  162
5.1 ,  163
5.2 ,  164
5.3 ,  164
5.4 ,  165
5.5 ,  165
5.6 ,  165
5.7 ,  165
5.8 ,  166
5.9 ,  167
6.0 ,  167
6.1 ,  168
6.2 ,  169
6.3 ,  170
6.4 ,  170
6.5 ,  173
6.6 ,  173
6.7 ,  173
6.8 ,  175
6.9 ,  178
7.0 ,  178
7.1 ,  179
7.2 ,  180
7.3 ,  181
7.4 ,  181
7.5 ,  182
7.6 ,  182
7.7 ,  182
7.8 ,  183
7.9 ,  184
8.0 ,  185
8.1 ,  185
8.2 ,  185
8.3 ,  186
8.4 ,  186
8.5 ,  190
8.6 ,  190
8.7 ,  190
8.8 ,  191
8.9 ,  191
9.0 ,  191
9.1 ,  191
9.2 ,  191
9.3 ,  191
9.4 ,  191
9.5 ,  191
9.6 ,  191
9.7 ,  191
9.8 ,  193
9.9 ,  193
10.0 ,  193
10.1 ,  193
10.2 ,  193
10.3 ,  193
10.4 ,  193
10.5 ,  193
10.6 ,  193
10.7 ,  193
10.8 ,  193
10.9 ,  193
11.0 ,  193
11.1 ,  193
11.2 ,  193
11.3 ,  193
11.4 ,  193
11.5 ,  193
11.6 ,  193
11.7 ,  194
