limit, count
1.0 ,  0
1.1 ,  23
1.2 ,  63
1.3 ,  10
1.4 ,  2
1.5 ,  3
1.6 ,  0
1.7 ,  5
1.8 ,  5
1.9 ,  3
2.0 ,  3
2.1 ,  2
2.2 ,  1
2.3 ,  1
2.4 ,  3
2.5 ,  2
2.6 ,  2
2.7 ,  3
2.8 ,  3
2.9 ,  2
3.0 ,  2
3.1 ,  1
3.2 ,  0
3.3 ,  6
3.4 ,  3
3.5 ,  2
3.6 ,  1
3.7 ,  3
3.8 ,  3
3.9 ,  0
4.0 ,  0
4.1 ,  0
4.2 ,  3
4.3 ,  3
4.4 ,  1
4.5 ,  3
4.6 ,  2
4.7 ,  1
4.8 ,  1
4.9 ,  1
5.0 ,  2
5.1 ,  0
5.2 ,  3
5.3 ,  1
5.4 ,  2
5.5 ,  1
5.6 ,  1
5.7 ,  0
5.8 ,  3
5.9 ,  0
6.0 ,  2
6.1 ,  0
6.2 ,  1
6.3 ,  1
6.4 ,  1
6.5 ,  1
6.6 ,  1
6.7 ,  0
6.8 ,  0
6.9 ,  0
7.0 ,  0
7.1 ,  0
7.2 ,  1
7.3 ,  0
7.4 ,  2
