limit, count
1.0 ,  0
1.1 ,  3
1.2 ,  25
1.3 ,  29
1.4 ,  30
1.5 ,  32
1.6 ,  39
1.7 ,  51
1.8 ,  61
1.9 ,  69
2.0 ,  78
2.1 ,  86
2.2 ,  94
2.3 ,  99
2.4 ,  107
2.5 ,  115
2.6 ,  126
2.7 ,  132
2.8 ,  137
2.9 ,  145
3.0 ,  151
3.1 ,  158
3.2 ,  162
3.3 ,  162
3.4 ,  162
3.5 ,  166
3.6 ,  170
3.7 ,  171
3.8 ,  172
3.9 ,  177
4.0 ,  177
4.1 ,  181
4.2 ,  181
4.3 ,  186
4.4 ,  187
4.5 ,  187
4.6 ,  187
4.7 ,  187
4.8 ,  187
4.9 ,  187
5.0 ,  188
5.1 ,  188
5.2 ,  188
5.3 ,  188
5.4 ,  188
5.5 ,  189
