limit, count
1.0 ,  0
1.1 ,  5
1.2 ,  64
1.3 ,  133
1.4 ,  182
1.5 ,  228
1.6 ,  279
1.7 ,  321
1.8 ,  374
1.9 ,  441
2.0 ,  500
2.1 ,  554
2.2 ,  614
2.3 ,  650
2.4 ,  686
2.5 ,  716
2.6 ,  753
2.7 ,  777
2.8 ,  799
2.9 ,  823
3.0 ,  848
3.1 ,  867
3.2 ,  880
3.3 ,  889
3.4 ,  899
3.5 ,  911
3.6 ,  922
3.7 ,  935
3.8 ,  942
3.9 ,  953
4.0 ,  961
4.1 ,  970
4.2 ,  975
4.3 ,  983
4.4 ,  987
4.5 ,  990
4.6 ,  992
4.7 ,  995
4.8 ,  996
4.9 ,  997
5.0 ,  999
5.1 ,  999
5.2 ,  999
5.3 ,  999
5.4 ,  999
5.5 ,  1000
