id, model-name, radio
2 , yolov2 , 3.9169921509686296
3 , squeezenetv1 , 3.4150453299131036
4 , googlenet , 2.8021966329534385
1 , vgg19 , 2.0767186138180387
5 , resnet50 , 2.528233472303032
6 , vgg19 , 1.4277480125293693
7 , yolov2 , 1.6429036092009082
8 , googlenet , 1.2156788832334187
9 , squeezenetv1 , 2.4343657291417227
11 , resnet50 , 1.4522607295377699
10 , vgg19 , 1.7761826770743796
13 , yolov2 , 4.236328068308164
15 , squeezenetv1 , 2.2052617393710494
14 , googlenet , 4.47119885372712
12 , vgg19 , 1.7818615586806676
18 , yolov2 , 2.3188475938738224
19 , googlenet , 2.2972922077021494
17 , resnet50 , 2.61729742544042
16 , vgg19 , 2.1321039367099064
20 , squeezenetv1 , 3.7356811476499696
21 , vgg19 , 1.172196717523348
22 , yolov2 , 3.2184244785098093
23 , googlenet , 1.1795493788421465
24 , resnet50 , 1.26119875354469
26 , squeezenetv1 , 1.9993148650948724
25 , vgg19 , 1.5569594453922049
27 , yolov2 , 1.3090820558821479
29 , googlenet , 2.9112670025276253
28 , vgg19 , 1.4274927581926824
30 , squeezenetv1 , 2.165524829606505
31 , resnet50 , 2.132965261185416
33 , yolov2 , 3.376952964019439
34 , googlenet , 2.0497255671554333
32 , vgg19 , 1.5777608077006646
35 , squeezenetv1 , 1.0916689725557276
37 , resnet50 , 2.0759726424840537
36 , vgg19 , 1.6947422637083993
38 , yolov2 , 2.541503846905471
39 , googlenet , 1.5436849673905129
41 , squeezenetv1 , 3.1840230146785222
40 , vgg19 , 1.352773582587922
44 , googlenet , 1.5580004845482
45 , yolov2 , 1.4466144950112931
42 , resnet50 , 2.1799159202234906
43 , vgg19 , 1.9419985229974746
46 , squeezenetv1 , 1.4831461452340948
47 , vgg19 , 1.1767271168868512
48 , yolov2 , 2.1175130396800843
49 , googlenet , 1.2039765891273972
50 , resnet50 , 1.5535225880413857
52 , squeezenetv1 , 3.5600166350702693
51 , vgg19 , 1.3963970030901516
53 , googlenet , 1.140920312191198
55 , yolov2 , 3.6329750897600928
56 , resnet50 , 1.6006834364926126
54 , vgg19 , 1.8623022123719326
57 , squeezenetv1 , 2.4042203160205986
59 , googlenet , 3.1347473068134932
60 , yolov2 , 2.4886067429926904
58 , vgg19 , 1.567849215275471
62 , squeezenetv1 , 1.6234584546307207
61 , resnet50 , 1.6069926287294831
64 , googlenet , 1.616512063429873
63 , vgg19 , 1.391738976558305
65 , yolov2 , 2.998697855831577
66 , squeezenetv1 , 1.1174294177431385
68 , resnet50 , 1.3661934797559316
