limit, count
1.0 ,  0
1.1 ,  282
1.2 ,  162
1.3 ,  36
1.4 ,  15
1.5 ,  13
1.6 ,  15
1.7 ,  15
1.8 ,  12
1.9 ,  10
2.0 ,  6
2.1 ,  5
2.2 ,  16
2.3 ,  12
2.4 ,  13
2.5 ,  10
2.6 ,  14
2.7 ,  14
2.8 ,  8
2.9 ,  5
3.0 ,  9
3.1 ,  8
3.2 ,  10
3.3 ,  9
3.4 ,  8
3.5 ,  12
3.6 ,  6
3.7 ,  8
3.8 ,  10
3.9 ,  9
4.0 ,  14
4.1 ,  5
4.2 ,  3
4.3 ,  2
4.4 ,  4
4.5 ,  5
4.6 ,  5
4.7 ,  5
4.8 ,  6
4.9 ,  5
5.0 ,  5
5.1 ,  7
5.2 ,  11
5.3 ,  5
5.4 ,  4
5.5 ,  3
5.6 ,  4
5.7 ,  5
5.8 ,  4
5.9 ,  4
6.0 ,  5
6.1 ,  3
6.2 ,  0
6.3 ,  3
6.4 ,  4
6.5 ,  4
6.6 ,  7
6.7 ,  8
6.8 ,  8
6.9 ,  6
7.0 ,  4
7.1 ,  5
7.2 ,  6
7.3 ,  3
7.4 ,  3
7.5 ,  0
7.6 ,  5
7.7 ,  7
7.8 ,  3
7.9 ,  3
8.0 ,  4
8.1 ,  3
8.2 ,  0
8.3 ,  1
8.4 ,  3
8.5 ,  0
8.6 ,  4
8.7 ,  1
8.8 ,  4
8.9 ,  2
9.0 ,  1
9.1 ,  2
9.2 ,  1
9.3 ,  0
9.4 ,  0
9.5 ,  0
9.6 ,  0
9.7 ,  1
9.8 ,  2
9.9 ,  2
10.0 ,  1
10.1 ,  1
10.2 ,  3
10.3 ,  1
10.4 ,  1
10.5 ,  2
10.6 ,  0
10.7 ,  1
10.8 ,  0
10.9 ,  3
11.0 ,  0
11.1 ,  1
11.2 ,  1
11.3 ,  0
11.4 ,  2
11.5 ,  0
11.6 ,  1
11.7 ,  0
11.8 ,  0
11.9 ,  0
12.0 ,  0
12.1 ,  0
12.2 ,  0
12.3 ,  1
12.4 ,  1
12.5 ,  0
12.6 ,  0
12.7 ,  0
12.8 ,  0
12.9 ,  0
13.0 ,  0
13.1 ,  0
13.2 ,  1
13.3 ,  0
13.4 ,  0
13.5 ,  0
13.6 ,  0
13.7 ,  0
13.8 ,  1
13.9 ,  0
14.0 ,  0
14.1 ,  1
14.2 ,  0
14.3 ,  0
14.4 ,  0
14.5 ,  0
14.6 ,  0
14.7 ,  0
14.8 ,  0
14.9 ,  0
15.0 ,  0
15.1 ,  0
15.2 ,  1
