limit, count
1.0 ,  0
1.1 ,  5
1.2 ,  36
1.3 ,  36
1.4 ,  37
1.5 ,  40
1.6 ,  41
1.7 ,  43
1.8 ,  44
1.9 ,  45
2.0 ,  46
2.1 ,  46
2.2 ,  49
2.3 ,  51
2.4 ,  54
2.5 ,  56
2.6 ,  59
2.7 ,  61
2.8 ,  62
2.9 ,  66
3.0 ,  66
3.1 ,  66
3.2 ,  66
3.3 ,  66
3.4 ,  67
3.5 ,  68
3.6 ,  69
3.7 ,  71
3.8 ,  72
3.9 ,  73
4.0 ,  74
4.1 ,  78
4.2 ,  79
4.3 ,  80
4.4 ,  81
4.5 ,  83
4.6 ,  84
4.7 ,  86
4.8 ,  88
4.9 ,  88
5.0 ,  88
5.1 ,  91
5.2 ,  91
5.3 ,  94
5.4 ,  94
5.5 ,  95
5.6 ,  95
5.7 ,  99
5.8 ,  100
5.9 ,  102
6.0 ,  104
6.1 ,  104
6.2 ,  106
6.3 ,  106
6.4 ,  108
6.5 ,  110
6.6 ,  111
6.7 ,  112
6.8 ,  116
6.9 ,  117
7.0 ,  120
7.1 ,  123
7.2 ,  123
7.3 ,  123
7.4 ,  128
7.5 ,  132
7.6 ,  136
7.7 ,  136
7.8 ,  139
7.9 ,  140
8.0 ,  142
8.1 ,  143
8.2 ,  143
8.3 ,  143
8.4 ,  143
8.5 ,  143
8.6 ,  144
8.7 ,  144
8.8 ,  144
8.9 ,  144
9.0 ,  147
9.1 ,  147
9.2 ,  147
9.3 ,  148
9.4 ,  149
9.5 ,  149
9.6 ,  149
9.7 ,  149
9.8 ,  149
9.9 ,  149
10.0 ,  149
10.1 ,  149
10.2 ,  149
10.3 ,  150
10.4 ,  150
10.5 ,  150
10.6 ,  151
10.7 ,  151
10.8 ,  151
10.9 ,  151
11.0 ,  151
11.1 ,  151
11.2 ,  151
11.3 ,  151
11.4 ,  151
11.5 ,  151
11.6 ,  151
11.7 ,  151
11.8 ,  151
11.9 ,  151
12.0 ,  151
12.1 ,  152
