limit, count
1.0 ,  0
1.1 ,  5
1.2 ,  31
1.3 ,  0
1.4 ,  1
1.5 ,  3
1.6 ,  1
1.7 ,  2
1.8 ,  1
1.9 ,  1
2.0 ,  1
2.1 ,  0
2.2 ,  3
2.3 ,  2
2.4 ,  3
2.5 ,  2
2.6 ,  3
2.7 ,  2
2.8 ,  1
2.9 ,  4
3.0 ,  0
3.1 ,  0
3.2 ,  0
3.3 ,  0
3.4 ,  1
3.5 ,  1
3.6 ,  1
3.7 ,  2
3.8 ,  1
3.9 ,  1
4.0 ,  1
4.1 ,  4
4.2 ,  1
4.3 ,  1
4.4 ,  1
4.5 ,  2
4.6 ,  1
4.7 ,  2
4.8 ,  2
4.9 ,  0
5.0 ,  0
5.1 ,  3
5.2 ,  0
5.3 ,  3
5.4 ,  0
5.5 ,  1
5.6 ,  0
5.7 ,  4
5.8 ,  1
5.9 ,  2
6.0 ,  2
6.1 ,  0
6.2 ,  2
6.3 ,  0
6.4 ,  2
6.5 ,  2
6.6 ,  1
6.7 ,  1
6.8 ,  4
6.9 ,  1
7.0 ,  3
7.1 ,  3
7.2 ,  0
7.3 ,  0
7.4 ,  5
7.5 ,  4
7.6 ,  4
7.7 ,  0
7.8 ,  3
7.9 ,  1
8.0 ,  2
8.1 ,  1
8.2 ,  0
8.3 ,  0
8.4 ,  0
8.5 ,  0
8.6 ,  1
8.7 ,  0
8.8 ,  0
8.9 ,  0
9.0 ,  3
9.1 ,  0
9.2 ,  0
9.3 ,  1
9.4 ,  1
9.5 ,  0
9.6 ,  0
9.7 ,  0
9.8 ,  0
9.9 ,  0
10.0 ,  0
10.1 ,  0
10.2 ,  0
10.3 ,  1
10.4 ,  0
10.5 ,  0
10.6 ,  1
10.7 ,  0
10.8 ,  0
10.9 ,  0
11.0 ,  0
11.1 ,  0
11.2 ,  0
11.3 ,  0
11.4 ,  0
11.5 ,  0
11.6 ,  0
11.7 ,  0
11.8 ,  0
11.9 ,  0
12.0 ,  0
12.1 ,  1
