limit, count
1.0 ,  0
1.1 ,  90
1.2 ,  125
1.3 ,  129
1.4 ,  129
1.5 ,  131
1.6 ,  133
1.7 ,  133
1.8 ,  134
1.9 ,  134
2.0 ,  135
2.1 ,  136
2.2 ,  137
2.3 ,  138
2.4 ,  141
2.5 ,  141
2.6 ,  143
2.7 ,  144
2.8 ,  146
2.9 ,  147
3.0 ,  147
3.1 ,  152
3.2 ,  153
3.3 ,  158
3.4 ,  159
3.5 ,  162
3.6 ,  164
3.7 ,  165
3.8 ,  169
3.9 ,  171
4.0 ,  176
4.1 ,  177
4.2 ,  178
4.3 ,  181
4.4 ,  182
4.5 ,  182
4.6 ,  183
4.7 ,  183
4.8 ,  183
4.9 ,  185
5.0 ,  189
5.1 ,  192
5.2 ,  194
5.3 ,  195
5.4 ,  195
5.5 ,  195
5.6 ,  195
5.7 ,  195
5.8 ,  196
5.9 ,  198
6.0 ,  198
6.1 ,  198
6.2 ,  198
6.3 ,  198
6.4 ,  200
6.5 ,  200
6.6 ,  201
6.7 ,  202
6.8 ,  203
6.9 ,  203
7.0 ,  203
7.1 ,  203
7.2 ,  204
7.3 ,  204
7.4 ,  206
7.5 ,  206
7.6 ,  208
7.7 ,  210
7.8 ,  211
7.9 ,  212
8.0 ,  213
8.1 ,  213
8.2 ,  214
8.3 ,  217
8.4 ,  219
8.5 ,  222
8.6 ,  224
8.7 ,  226
8.8 ,  229
8.9 ,  230
9.0 ,  231
9.1 ,  232
9.2 ,  232
9.3 ,  234
9.4 ,  234
9.5 ,  234
9.6 ,  234
9.7 ,  235
9.8 ,  235
9.9 ,  235
10.0 ,  238
10.1 ,  240
10.2 ,  240
10.3 ,  240
10.4 ,  240
10.5 ,  240
10.6 ,  240
10.7 ,  240
10.8 ,  240
10.9 ,  242
11.0 ,  242
11.1 ,  244
11.2 ,  245
11.3 ,  245
11.4 ,  245
11.5 ,  246
11.6 ,  246
11.7 ,  246
11.8 ,  246
11.9 ,  247
12.0 ,  247
12.1 ,  249
12.2 ,  249
12.3 ,  249
12.4 ,  249
12.5 ,  250
12.6 ,  250
12.7 ,  250
12.8 ,  250
12.9 ,  250
13.0 ,  250
13.1 ,  251
13.2 ,  251
13.3 ,  252
13.4 ,  252
13.5 ,  252
13.6 ,  252
13.7 ,  252
13.8 ,  252
13.9 ,  252
14.0 ,  252
14.1 ,  252
14.2 ,  252
14.3 ,  253
