limit, count
1.0 ,  0
1.1 ,  294
1.2 ,  480
1.3 ,  512
1.4 ,  528
1.5 ,  542
1.6 ,  561
1.7 ,  576
1.8 ,  590
1.9 ,  594
2.0 ,  601
2.1 ,  607
2.2 ,  615
2.3 ,  627
2.4 ,  636
2.5 ,  646
2.6 ,  655
2.7 ,  665
2.8 ,  675
2.9 ,  680
3.0 ,  682
3.1 ,  694
3.2 ,  702
3.3 ,  715
3.4 ,  724
3.5 ,  737
3.6 ,  745
3.7 ,  755
3.8 ,  764
3.9 ,  770
4.0 ,  780
4.1 ,  785
4.2 ,  791
4.3 ,  797
4.4 ,  800
4.5 ,  804
4.6 ,  808
4.7 ,  810
4.8 ,  813
4.9 ,  816
5.0 ,  821
5.1 ,  827
5.2 ,  833
5.3 ,  834
5.4 ,  837
5.5 ,  841
5.6 ,  844
5.7 ,  845
5.8 ,  849
5.9 ,  855
6.0 ,  857
6.1 ,  861
6.2 ,  863
6.3 ,  866
6.4 ,  869
6.5 ,  871
6.6 ,  876
6.7 ,  882
6.8 ,  886
6.9 ,  891
7.0 ,  893
7.1 ,  896
7.2 ,  899
7.3 ,  904
7.4 ,  909
7.5 ,  913
7.6 ,  918
7.7 ,  921
7.8 ,  924
7.9 ,  927
8.0 ,  929
8.1 ,  931
8.2 ,  934
8.3 ,  937
8.4 ,  940
8.5 ,  946
8.6 ,  949
8.7 ,  952
8.8 ,  958
8.9 ,  961
9.0 ,  963
9.1 ,  965
9.2 ,  966
9.3 ,  969
9.4 ,  969
9.5 ,  970
9.6 ,  972
9.7 ,  973
9.8 ,  974
9.9 ,  974
10.0 ,  977
10.1 ,  981
10.2 ,  981
10.3 ,  982
10.4 ,  982
10.5 ,  983
10.6 ,  983
10.7 ,  984
10.8 ,  985
10.9 ,  987
11.0 ,  987
11.1 ,  989
11.2 ,  990
11.3 ,  990
11.4 ,  990
11.5 ,  991
11.6 ,  991
11.7 ,  991
11.8 ,  991
11.9 ,  992
12.0 ,  992
12.1 ,  995
12.2 ,  995
12.3 ,  995
12.4 ,  995
12.5 ,  996
12.6 ,  996
12.7 ,  996
12.8 ,  997
12.9 ,  997
13.0 ,  997
13.1 ,  998
13.2 ,  998
13.3 ,  999
13.4 ,  999
13.5 ,  999
13.6 ,  999
13.7 ,  999
13.8 ,  999
13.9 ,  999
14.0 ,  999
14.1 ,  999
14.2 ,  999
14.3 ,  1000
