limit, count
1.0 ,  0
1.1 ,  7
1.2 ,  45
1.3 ,  52
1.4 ,  52
1.5 ,  53
1.6 ,  55
1.7 ,  56
1.8 ,  58
1.9 ,  59
2.0 ,  64
2.1 ,  64
2.2 ,  66
2.3 ,  67
2.4 ,  70
2.5 ,  74
2.6 ,  78
2.7 ,  82
2.8 ,  84
2.9 ,  87
3.0 ,  90
3.1 ,  93
3.2 ,  96
3.3 ,  98
3.4 ,  101
3.5 ,  105
3.6 ,  107
3.7 ,  108
3.8 ,  110
3.9 ,  111
4.0 ,  112
4.1 ,  112
4.2 ,  116
4.3 ,  119
4.4 ,  119
4.5 ,  120
4.6 ,  122
4.7 ,  123
4.8 ,  125
4.9 ,  127
5.0 ,  129
5.1 ,  131
5.2 ,  136
5.3 ,  137
5.4 ,  138
5.5 ,  140
5.6 ,  142
5.7 ,  144
5.8 ,  144
5.9 ,  144
6.0 ,  145
6.1 ,  146
6.2 ,  150
6.3 ,  153
6.4 ,  155
6.5 ,  155
6.6 ,  157
6.7 ,  157
6.8 ,  163
6.9 ,  163
7.0 ,  165
7.1 ,  167
7.2 ,  168
7.3 ,  171
7.4 ,  174
7.5 ,  177
7.6 ,  177
7.7 ,  179
7.8 ,  179
7.9 ,  181
8.0 ,  181
8.1 ,  183
8.2 ,  184
8.3 ,  184
8.4 ,  184
8.5 ,  184
8.6 ,  185
8.7 ,  185
8.8 ,  186
8.9 ,  186
9.0 ,  187
9.1 ,  188
9.2 ,  188
9.3 ,  188
9.4 ,  189
9.5 ,  189
9.6 ,  189
9.7 ,  189
9.8 ,  189
9.9 ,  190
10.0 ,  190
10.1 ,  191
10.2 ,  192
10.3 ,  192
10.4 ,  192
10.5 ,  193
10.6 ,  193
10.7 ,  193
10.8 ,  193
10.9 ,  194
