limit, count
1.0 ,  0
1.1 ,  7
1.2 ,  38
1.3 ,  7
1.4 ,  0
1.5 ,  1
1.6 ,  2
1.7 ,  1
1.8 ,  2
1.9 ,  1
2.0 ,  5
2.1 ,  0
2.2 ,  2
2.3 ,  1
2.4 ,  3
2.5 ,  4
2.6 ,  4
2.7 ,  4
2.8 ,  2
2.9 ,  3
3.0 ,  3
3.1 ,  3
3.2 ,  3
3.3 ,  2
3.4 ,  3
3.5 ,  4
3.6 ,  2
3.7 ,  1
3.8 ,  2
3.9 ,  1
4.0 ,  1
4.1 ,  0
4.2 ,  4
4.3 ,  3
4.4 ,  0
4.5 ,  1
4.6 ,  2
4.7 ,  1
4.8 ,  2
4.9 ,  2
5.0 ,  2
5.1 ,  2
5.2 ,  5
5.3 ,  1
5.4 ,  1
5.5 ,  2
5.6 ,  2
5.7 ,  2
5.8 ,  0
5.9 ,  0
6.0 ,  1
6.1 ,  1
6.2 ,  4
6.3 ,  3
6.4 ,  2
6.5 ,  0
6.6 ,  2
6.7 ,  0
6.8 ,  6
6.9 ,  0
7.0 ,  2
7.1 ,  2
7.2 ,  1
7.3 ,  3
7.4 ,  3
7.5 ,  3
7.6 ,  0
7.7 ,  2
7.8 ,  0
7.9 ,  2
8.0 ,  0
8.1 ,  2
8.2 ,  1
8.3 ,  0
8.4 ,  0
8.5 ,  0
8.6 ,  1
8.7 ,  0
8.8 ,  1
8.9 ,  0
9.0 ,  1
9.1 ,  1
9.2 ,  0
9.3 ,  0
9.4 ,  1
9.5 ,  0
9.6 ,  0
9.7 ,  0
9.8 ,  0
9.9 ,  1
10.0 ,  0
10.1 ,  1
10.2 ,  1
10.3 ,  0
10.4 ,  0
10.5 ,  1
10.6 ,  0
10.7 ,  0
10.8 ,  0
10.9 ,  1
